time,open,high,low,close,RSI_7,RSI_14
06-12-22,1.04671,1.05498,1.04434,1.05064,65.30479677,64.50047174
07-12-22,1.05064,1.0565,1.04896,1.05552,70.25121781,66.74500414
08-12-22,1.05552,1.05883,1.05036,1.05336,65.43390134,64.79226133
11-12-22,1.05336,1.05803,1.0506,1.05378,65.96336993,65.00664519
12-12-22,1.05378,1.06736,1.05281,1.06317,75.68001331,69.48095344
13-12-22,1.06317,1.06951,1.0619,1.06822,79.37444708,71.58519445
14-12-22,1.06822,1.07362,1.05924,1.06267,66.43464671,66.1842989
15-12-22,1.06267,1.06633,1.05848,1.05848,58.0932233,62.35914889
18-12-22,1.05848,1.0658,1.0576,1.06079,61.22467508,63.60792049
19-12-22,1.06079,1.06586,1.0579,1.06213,63.0911886,64.34684329
20-12-22,1.06213,1.06454,1.05904,1.06052,59.10319443,62.6995816
21-12-22,1.06052,1.06595,1.05734,1.05972,57.01400298,61.85227647
22-12-22,1.05972,1.06332,1.05868,1.06162,60.84864226,63.12676159
26-12-22,1.06162,1.06696,1.06115,1.0638,65.02506207,64.58859175
27-12-22,1.0638,1.06746,1.06067,1.06122,56.67719257,61.48201815
28-12-22,1.06122,1.06906,1.06097,1.0661,66.24100913,64.91903862
29-12-22,1.0661,1.07133,1.06386,1.07039,72.4733625,67.65173707
01-01-23,1.07039,1.0709,1.06504,1.06638,60.32788525,62.73263832
02-01-23,1.06638,1.06835,1.05195,1.0549,38.67835513,51.24479404
03-01-23,1.0549,1.06354,1.05408,1.06044,48.9855058,55.48158681
04-01-23,1.06044,1.06316,1.0515,1.05215,37.87232555,48.66643946
05-01-23,1.05215,1.06482,1.04833,1.06444,55.38046345,57.0830505
08-01-23,1.06444,1.07608,1.06394,1.07338,63.99209021,61.9679529
09-01-23,1.07338,1.07594,1.07122,1.07342,64.02833036,61.9888
10-01-23,1.07342,1.07764,1.07256,1.07579,66.36812788,63.27334835
11-01-23,1.07579,1.0867,1.07305,1.08514,74.11705292,67.88442669
12-01-23,1.08514,1.0868,1.07804,1.08324,70.27821381,66.06913483
15-01-23,1.08324,1.08743,1.08015,1.08237,68.38603729,65.20925869
16-01-23,1.08237,1.08695,1.07744,1.0788,60.57784489,61.66280568
17-01-23,1.0788,1.08876,1.07662,1.07946,61.52534722,62.07347139
18-01-23,1.07946,1.084,1.07822,1.08312,66.7029592,64.35382839
19-01-23,1.08312,1.0859,1.08024,1.08555,69.84614211,65.82310066
22-01-23,1.08555,1.0927,1.08462,1.08718,71.92049029,66.8113024
23-01-23,1.08718,1.08981,1.08352,1.08882,74.01849344,67.81950227
24-01-23,1.08882,1.09237,1.08574,1.09152,77.27916864,69.46414335
25-01-23,1.09152,1.09296,1.08506,1.08912,68.37968929,66.22427224
26-01-23,1.08912,1.09004,1.08379,1.08679,60.48972179,63.14508592
29-01-23,1.08679,1.09139,1.08394,1.08517,55.31271265,61.02067011
30-01-23,1.08517,1.08749,1.08022,1.08632,58.27052031,61.99807185
31-01-23,1.08632,1.10013,1.08522,1.09896,77.42832519,70.69574898
01-02-23,1.09896,1.1033,1.08854,1.09098,57.8623516,61.17611892
02-02-23,1.09098,1.09404,1.07928,1.0794,40.52515875,50.54062363
05-02-23,1.0794,1.07991,1.07094,1.0725,33.53924389,45.46827085
06-02-23,1.0725,1.07667,1.06692,1.07274,34.00092843,45.67250828
07-02-23,1.07274,1.07609,1.07095,1.07143,32.56054358,44.68865997
08-02-23,1.07143,1.07911,1.07094,1.0739,38.30937271,47.00661642
09-02-23,1.0739,1.07528,1.06662,1.06774,30.69599181,42.25110129
12-02-23,1.06774,1.073,1.06556,1.07242,41.07557271,46.66573537
13-02-23,1.07242,1.08047,1.07068,1.07357,43.50138957,47.72327356
14-02-23,1.07357,1.07446,1.06605,1.0688,36.27477774,43.8402667
